name,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,f1_std,roc_auc_mean,pr_auc_mean,train_time_s_mean,infer_ms_per_sample_mean,n_params,size_mb
wider_d128,0.835,0.009168560410446138,0.8280151746167173,0.8470000000000001,0.8369005316868563,0.00907209390520176,0.9125203125000001,0.9116244368957854,283.5281158800004,1.08908936250009,2692866,10.370124816894531
learned_positional,0.8321250000000001,0.0076913100314575916,0.8208934573773898,0.8515,0.8352295423798328,0.007890475010185952,0.9158954687499999,0.91449992976591,120.9147581600002,0.41562804999921354,1326466,5.060066223144531
more_heads_4,0.835125,0.006366415789123435,0.839441005686455,0.8327500000000001,0.8342907650031124,0.011389851112474824,0.9199540625000001,0.9193452110239748,192.35426727999584,0.677212562499335,1313666,5.060066223144531
regularized_dropout03,0.8355,0.010386289038920478,0.8488406157113125,0.8165000000000001,0.8322895085455444,0.01082556776648346,0.9169506250000001,0.9150359689873941,121.11208997999783,0.41674962500474066,1313666,5.060066223144531
deeper_2_layers,0.836625,0.007143616031114753,0.8635026687479197,0.7997500000000001,0.8303181695469457,0.008348202714997914,0.91951625,0.9169956258528268,259.54420783999956,1.0174109500039776,1347138,5.187751770019531
baseline,0.835125,0.0064879696361805125,0.8569099242705922,0.80575,0.8300260299528214,0.008081615832075747,0.9206795312499999,0.9196503045069437,134.3383460000041,0.48840046250188607,1313666,5.060066223144531
